url,section,title,date,source,text
http://www.ahjjjc.gov.cn/sggb286/p/53745.html,县处级及以下干部,全椒县农委（粮食局)发展计划科科长朱守平严重违纪违法被开除党籍和公职,2018-02-13 10:06,安徽纪检监察网,"日前，经中共全椒县委批准，中共全椒县纪委、县监委对全椒县农委（县粮食局)发展计划科科长、县江淮分水岭综合治理开发工作办公室副主任朱守平严重违纪违法问题进行了纪律审查、监察调查。,经查，朱守平违反政治纪律，在组织审查期间失联，对抗组织审查；违反中央八项规定精神和廉洁纪律，收受服务对象礼品、礼品券；违反组织纪律，在组织对其谈话时不如实说明问题；违反群众纪律，向服务对象摊派相关费用；违反工作纪律，不正确履行职责；违反生活纪律；利用职务上便利为他人谋取利益，索取、非法收受他人财物，涉嫌受贿犯罪；伙同他人侵吞公款，涉嫌贪污犯罪。,朱守平身为中共党员和行政机关任命的事业单位工作人员，理想信念丧失，纪律观念、法律意识淡薄，对党不忠诚、不老实，全面破纪，严重违反党的纪律和国家法律法规，涉嫌违法犯罪，且十八大之后不收敛、不收手，多次向他人索取财物，情节严重、性质恶劣，应予严肃处理。依据《中国共产党纪律处分条例》和《事业单位工作人员处分暂行规定》等有关规定，中共全椒县纪委、全椒县监委决定给予朱守平开除党籍、开除公职处分；收缴违纪所得；将朱守平涉嫌职务犯罪一案移送检察机关依法提起公诉。（滁州市纪委、市监委）"
http://www.ahjjjc.gov.cn/sggb286/p/54251.html,县处级及以下干部,颍上县古城镇原党委委员刘凤亚接受组织审查和监察调查,2018-03-01 15:59,安徽纪检监察网,颍上县古城镇原党委委员刘凤亚涉嫌严重违纪违法，目前正接受组织审查和监察调查。（阜阳市纪委监委）
http://www.ahjjjc.gov.cn/sggb286/p/54366.html,县处级及以下干部,五河县晶源水务有限公司财务科长王晓春接受组织审查和监察调查,2018-03-05 10:21,安徽纪检监察网,"五河县晶源水务有限公司财务科长王晓春涉嫌严重违纪违法,目前正接受组织审查和监察调查。（蚌埠市纪委监委）"
http://www.ahjjjc.gov.cn/sggb286/p/54455.html,县处级及以下干部,合肥热电集团有限公司原董事长、总经理、党委书记汪昌跃接受组织审查和监察调查,2018-03-07 08:44,安徽纪检监察网,"合肥热电集团有限公司原董事长、总经理、党委书记汪昌跃涉嫌严重违纪违法，目前正接受组织审查和监察调查。,汪昌跃简历：,汪昌跃，男，回族，1958年11月出生，合肥市人，1977年9月参加工作，1985年12月加入中国共产党。曾任合肥市自来水总公司团委干事、团委副书记、书记，民生贸易公司经理、办公室主任，合肥自来水总公司纪委书记，合肥供水集团副总经理、党委委员，合肥供水集团总经理、党委委员，合肥供水集团有限公司总经理、党委副书记、董事；2009年8月至2010年6月任合肥燃气集团有限公司总经理、党委副书记、副董事长（2009年11月起行使合肥热电集团董事长、总经理、党委书记职责）；2010年6月至2014年7月任合肥热电集团执行董事、总经理、党委书记；2014年7月至2017年6月任合肥热电集团董事长、总经理、党委书记；2017年9月任合肥热电集团企业顾问。（合肥市纪委监委）"
http://www.ahjjjc.gov.cn/sggb286/p/54502.html,县处级及以下干部,界首市委党校常务副校长李奎接受组织审查和监察调查,2018-03-07 16:32,安徽纪检监察网,界首市委党校常务副校长李奎涉嫌严重违纪违法，目前正接受组织审查和监察调查。（阜阳市纪委监委）
http://www.ahjjjc.gov.cn/sggb286/p/54555.html,县处级及以下干部,阜阳市民用航空局计财科科长耿振高接受组织审查和监察调查,2018-03-08 16:46,安徽纪检监察网,阜阳市民用航空局计财科科长耿振高涉嫌严重违纪违法，目前正接受组织审查和监察调查。（阜阳市纪委监委）
http://www.ahjjjc.gov.cn/sggb286/p/54597.html,县处级及以下干部,淮北市公路局直属分局工养科科长李保民接受监察机关调查,2018-03-09 10:51,安徽纪检监察网,淮北市公路局直属分局工养科科长李保民涉嫌严重违法，目前正接受监察机关调查。（淮北市纪委监委）
http://www.ahjjjc.gov.cn/sggb286/p/53658.html,县处级及以下干部,无为县十里墩镇原党委书记曹根谊严重违纪违法被开除党籍和公职,2018-02-11 15:27,安徽纪检监察网,"日前，经中共无为县委批准，中共无为县纪委、县监察委员会对十里墩镇原党委书记曹根谊严重违纪违法问题进行了组织审查、监察调查。,经查，曹根谊违反政治纪律，对抗组织审查调查；违反中央八项规定精神，多次违规接受管理和服务对象安排的宴请，利用其子升学之机违规收受管理和服务对象礼金；违反组织纪律，不如实报告个人有关事项；违反廉洁纪律，多次收受管理和服务对象所送礼品，违规报销个人费用；违反群众纪律，侵害群众利益；违反工作纪律，不履行全面从严治党主体责任，违规出让土地，纵容违法建设；违反生活纪律；违反国家法律法规规定，涉嫌贪污、受贿犯罪。,曹根谊身为党员领导干部，理想信念丧失，无视党纪国法，宗旨意识淡漠，毫无组织原则，独断专行，私欲膨胀，用权任性，底线全面失守，在党的十八大后仍不收敛、不收手、不知止，我行我素，顶风违纪，严重违反党的纪律，并涉嫌犯罪，性质恶劣、情节严重。依据《中国共产党纪律处分条例》、《中华人民共和国公务员法》等有关规定，经中共无为县委批准，中共无为县纪委、县监察委员会决定给予曹根谊开除党籍、开除公职处分；依法罢免曹根谊无为县第十七届人民代表大会代表职务；终止曹根谊中共无为县第十四次代表大会代表资格；收缴曹根谊违纪所得；将曹根谊涉嫌贪污、受贿犯罪问题移送检察机关依法提起公诉。（芜湖市纪委、市监委）"
http://www.ahjjjc.gov.cn/sggb/p/47944.html,厅局级干部,安徽出版集团原党委书记、董事长王亚非严重违纪被开除党籍 ,2017-08-14 16:34,安徽纪检监察网,"日前，经中共安徽省委批准，安徽省纪委对安徽出版集团原党委书记、董事长王亚非严重违纪问题进行了立案审查。&nbsp;,经查，王亚非毫无党性原则和组织观念，违反政治纪律，对抗组织审查，长期搞迷信活动；违反中央八项规定精神，违规建设、出入高档会所，违规公款发放拜年红包；违反组织纪律，不如实向组织说明问题和报告个人有关情况；违反廉洁纪律，收受礼金、购物卡，违规兼职取酬、滥发津补贴，违规在单位报销个人费用；违反工作纪律，履行全面从严治党主体责任和第一责任人职责缺位，造成恶劣影响；违反“三重一大”决策制度，个人决定大额度资金使用；违反生活纪律；利用职务上的便利为他人谋取利益并收受巨额财物，涉嫌受贿犯罪。,王亚非身为党员领导干部，理想信念丧失，集政治上蜕变、经济上贪婪、生活上腐化于一身，把江湖义气带到组织生活，搞“小圈子”和“一言堂”，借公权谋私利，严重违反党的纪律，并涉嫌违法犯罪，且在党的十八大后仍不收敛、不收手，性质恶劣、情节严重，严重损害了党的形象，破坏了所在单位的政治生态。依据《中国共产党纪律处分条例》等有关规定，经中共安徽省纪委常委会会议研究并报中共安徽省委批准，决定给予王亚非开除党籍处分；按规定取消其退休待遇；收缴其违纪所得；将其涉嫌犯罪问题、线索及所涉款物移送司法机关依法处理。,王亚非简历&nbsp;,王亚非，男，汉族，1955年4月生，安徽凤台人，大学学历，1976年6月加入中国共产党，1974年4月参加工作。曾任省技术进出口公司总经理、董事长，省外经贸厅副厅长，省商务厅副厅长；2005年9月起任安徽出版集团党委书记、董事长。2015年8月退休。"
http://www.ahjjjc.gov.cn/sggb/p/47945.html,厅局级干部,安徽省质监局原党组书记、局长朱琳严重违纪被开除党籍和公职 ,2017-08-14 16:42,安徽纪检监察网,"日前，经中共安徽省委批准，安徽省纪委对安徽省质监局原党组书记、局长朱琳严重违纪问题进行了立案审查。,经查，朱琳严重违反政治纪律，与他人串供、伪造、销毁、转移、隐匿证据，对抗组织审查；违反中央八项规定精神，公款吃喝；违反组织纪律，在组织函询时不如实说明问题，不如实报告个人有关事项；违反廉洁纪律，收受礼金、礼品，将个人费用在下属单位报销；违反生活纪律;利用职务上的便利和影响为他人谋取利益并索取、收受巨额财物，涉嫌受贿犯罪。,朱琳身为党员领导干部，理想信念丧失,纪律意识淡漠，对党不忠诚、不老实，全面破纪，政商关系“亲清不分”，肆意权钱交易，涉嫌违法犯罪，且在党的十八大后不收敛、不收手，性质恶劣、情节严重，严重损害了党的利益和形象，破坏了所在单位政治生态。依据《中国共产党纪律处分条例》、《行政机关公务员处分条例》等有关规定，经中共安徽省纪委常委会会议研究并报安徽省委批准，决定给予朱琳开除党籍处分;由安徽省监察厅报安徽省政府批准，给予其开除公职处分;收缴其违纪所得;将其涉嫌犯罪问题、线索及所涉款物移送司法机关依法处理。,朱琳简历,朱琳，男，汉族，1957年9月出生，江苏泗洪人，大学学历，1995年4月加入中国共产党，1976年2月参加工作。2000年8月至2007年4月，历任省政府驻北京办事处分党组成员、副主任、分党组书记、主任；2007年4月至2011年4月任省政府副秘书长兼省政府驻北京办事处分党组书记、主任；2011年4月至2017年4月任省质监局党组书记、局长。"
